0,,Toxicroak,Toxicroak,Toxicroak,Umbreon,Azumarill,Azumarill,Alolan muk,Grimer,Grimer,Skuntank,Skuntank,Skuntank,Drapion,Drapion,Tentacruel,Tentacruel,Alolan raticate,Alolan raticate,Venomoth,Venomoth,Golbat,Crobat,Alolan ninetales,Alolan ninetales,Nidoqueen,Sneasel,Alolan marowak,Sableye,Mawile,Dusclops,Venusaur,Venusaur,Dustox,Froslass,Tyranitar,Swalot,Qwilfish,Qwilfish
Golbat,Golbat.wing attack.shadow ball.poison fang.1500,0.604010025,0.513784461,0.604010025,-0.413419913,-0.233695652,0.581453634,-0.009471956,0.315789474,0.621553885,0.057985874,-0.075757576,-0.075757576,-0.016083687,-0.255072464,0.260612469,0.260612469,-0.167816092,-0.167816092,-0.01475912,-0.070732387,0,0.058729501,-0.159422948,-0.159422948,0.285714286,-0.281345566,-0.039566128,0.043056359,-0.243478261,0.005839842,0.62406015,0.560150376,-0.074514645,-0.50390625,-0.651260504,-0.084347232,0.047442988,0.047442988
Crobat,Crobat.air slash.shadow ball.sludge bomb.1500,0.6167979,0.532808399,0.6167979,-0.296536797,-0.385869565,0.540682415,-0.190804598,0.388451444,0.414698163,-0.001210076,-0.121212121,-0.121212121,0.184160676,-0.27826087,0.286355807,0.286355807,-0.287356322,-0.287356322,0.041994751,0.049868766,-0.058729501,0,-0.441734417,-0.441734417,0.021878652,-0.388379205,0.018394217,-0.216131637,-0.169565217,0.023392707,0.645669291,0.633858268,-0.038576801,-0.36328125,-0.453781513,-0.060606061,0.082091495,0.082091495
Alolan ninetales,Alolan ninetales.powder snow.ice beam.dazzling gleam.1500,-0.10616051,-0.167808292,-0.10616051,0.18699187,-0.480072464,0.012474962,-0.252873563,-0.124815615,0.471544715,-0.270562771,-0.270562771,-0.296536797,-0.151101685,0.33604336,-0.5703125,-0.575520833,0.37398374,-0.282160546,-0.319589624,0.027487418,0.159422948,0.441734417,0,-0.184281843,0.132751765,0.054523756,-0.083333333,-0.069001459,-0.167196889,-0.233009709,0.311178862,0.003150407,-0.126865672,-0.113376524,-0.220946915,0.130081301,-0.400826446,-0.388429752
Alolan ninetales,Alolan ninetales.powder snow.ice beam.psyshock.1500,0.134946546,0.070247317,0.134946546,0.154471545,-0.324275362,-0.011856369,-0.252873563,-0.08898494,0.301413331,-0.270562771,-0.270562771,-0.296536797,-0.151101685,0.33604336,-0.4453125,-0.450520833,0.028520699,-0.050649472,0.100271003,0.214092141,0.159422948,0.441734417,0.184281843,0,0.132751765,0.112975809,-0.038651206,0.019074422,-0.167196889,-0.233009709,0.311178862,0.003150407,0.024723941,0.058180894,-0.204140193,0.130081301,0.032117181,0.109756098
Nidoqueen,Nidoqueen.poison jab.earthquake.sludge wave.1500,-0.25804165,0.037473418,-0.145621396,-0.20995671,-0.411231884,0.625304136,0.248175182,0.185207429,-0.277356863,0.248175182,0.144563466,0.144563466,0.148122289,-0.333227547,0.700729927,0.700729927,0.028760802,0.028760802,-0.357780095,-0.330282316,-0.285714286,-0.021878652,-0.132751765,-0.132751765,0,-0.314984709,-0.117775518,-0.079980036,0.078768645,-0.36407767,-0.09270073,-0.105626521,-0.291044776,-0.58984375,0.040268662,-0.157177616,-0.615702479,-0.615702479
Sneasel,Sneasel.ice shard.avalanche.foul play.1500,-0.653543307,0.220183486,-0.653543307,0.149608801,-0.425724638,-0.746376812,0.161130444,0.330275229,0.373088685,0.258806942,0.258806942,0.258806942,-0.134662944,0.224677569,-0.064984709,-0.105862959,0.038047032,0.127617842,0.685015291,0.685015291,0.281345566,0.388379205,-0.054523756,-0.112975809,0.314984709,0,0.568807339,0.532110092,0.070961308,0.169724771,0.011850153,-0.049503058,0.321100917,-0.026949541,-0.621848739,-0.02235196,-0.15566002,-0.15566002
Alolan marowak,Alolan marowak.hex.shadow ball.fire blast.1500,0.093928833,0.093928833,0.62295082,-0.67965368,-0.097618199,0.633879781,-0.406029772,0.237704918,-0.253994605,0.046802924,-0.429955291,-0.429955291,-0.277619387,-0.785507246,0.045210041,0.045210041,-0.577011494,-0.577011494,-0.078194119,-0.065877353,0.182115124,0.107955768,0.063752277,0.033964192,0.269773842,-0.587155963,0,-0.235042735,-0.166357805,0.336065574,0.04692623,0.116598361,0.016454612,-0.3671875,-0.529411765,0.516393443,-0.19031974,-0.19031974
Sableye,Sableye.shadow claw.shadow sneak.power gem.1400,0.162393162,0.279202279,0.256410256,-0.517316017,-0.27636876,0.191982534,-0.225287356,0.299145299,0.239316239,-0.064916565,-0.413419913,-0.413419913,-0.310144928,-0.492753623,0.217525819,0.217525819,-0.363218391,-0.363218391,0.487179487,0.487179487,0.073859863,0.223859838,0.194149121,-0.140087555,0.221411192,-0.525993884,0.235042735,0,0.213675214,0.141025641,-0.059294872,-0.4125,0.47008547,0.337606838,-0.352941176,-0.093939394,0.026206117,0.026206117
Mawile,Mawile.bite.play rough.iron head.1500,-0.469816273,-0.320209974,-0.435695538,-0.19175607,-0.472826087,-0.201086957,-0.27816092,0.147771051,-0.170629242,-0.359307359,-0.073988331,-0.359307359,0.110144928,-0.052173913,0.124615036,0.124615036,-0.207896052,-0.207896052,0.289855072,0.272463768,0.072093277,0.081547415,0.013903617,0.013903617,-0.10604041,-0.200212738,0.166357805,-0.213675214,0,0.116251583,-0.170108696,-0.245833333,0.426086957,0.223199728,-0.039970771,0.256521739,0.039310097,0.039310097
Dusclops,Dusclops.hex.fire punch.ice punch.1500,0.420711974,0.262135922,0.478964401,-0.647186147,-0.483695652,-0.003728718,-0.328735632,0.368932039,0.284789644,0.037574076,-0.20995671,-0.20995671,-0.147826087,-0.597101449,-0.011807241,-0.011807241,-0.471264368,-0.471264368,0.13592233,0.13592233,-0.061537338,0.104145962,0.239482201,0.239482201,0.462783172,-0.183486239,-0.336065574,-0.141025641,-0.116251583,0,0.047815534,-0.379166667,0.247572816,0.132281553,-0.445378151,0.02185937,-0.272727273,-0.272727273
