0.0400512,Mamoswine,powder snow.avalanche.ancient power,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0400732,Walrein,frost breath.water pulse.blizzard,Alolan ninetales,powder snow.ice beam.psyshock,Sneasel,ice shard.ice punch.foul play
0.0401659,Dewgong,ice shard.icy wind.water pulse,Cloyster,ice shard.avalanche.hydro pump,Jynx,frost breath.avalanche.psyshock
0.0402293,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.dazzling gleam,Jynx,frost breath.avalanche.psyshock
0.040839,Flygon,mud shot.dragon claw.earthquake,Whiscash,mud shot.mud bomb.water pulse,Whiscash,mud shot.mud bomb.blizzard
0.0425195,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.dazzling gleam,Jynx,frost breath.avalanche.psyshock
0.0425707,Alolan ninetales,powder snow.ice beam.dazzling gleam,Alolan ninetales,powder snow.ice beam.psyshock,Abomasnow,powder snow.outrage.blizzard
0.0441244,Mamoswine,powder snow.avalanche.ancient power,Piloswine,powder snow.avalanche.stone edge,Froslass,powder snow.avalanche.shadow ball
0.0449293,Walrein,frost breath.water pulse.blizzard,Mamoswine,powder snow.avalanche.ancient power,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.047678,Cloyster,ice shard.avalanche.hydro pump,Froslass,powder snow.avalanche.shadow ball,Sneasel,ice shard.ice punch.foul play
0.0483024,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.dazzling gleam,Sneasel,ice shard.ice punch.foul play
0.0486122,Dewgong,ice shard.icy wind.water pulse,Cloyster,ice shard.avalanche.hydro pump,Sneasel,ice shard.ice punch.foul play
0.0486366,Piloswine,powder snow.avalanche.stone edge,Froslass,powder snow.avalanche.shadow ball,Jynx,frost breath.avalanche.psyshock
0.049778,Alolan ninetales,powder snow.ice beam.dazzling gleam,Sneasel,ice shard.ice punch.foul play,Abomasnow,powder snow.outrage.blizzard
